05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.28   15.55   933.35   615.69    57.73     0.01    0.35   0.31   0.84
dm-0              0.01     4.34   10.92   15.55   930.42   615.69    58.41     0.01    0.38   0.34   0.89
dm-3              0.00     0.00    0.11    0.00     2.58     0.00    22.64     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.60   19.88   926.05   615.69    50.58     0.02    0.65   0.29   0.87
dm-5              0.00     0.00    0.47    0.11     3.76     0.89     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.84    23.97     8.26     0.01    3.04   0.23   0.07
dm-9              0.00     0.00   10.50   16.89   924.46   591.72    55.37     0.01    0.39   0.30   0.81
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 05:40:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.25   15.51   930.55   613.78    57.71     0.01    0.35   0.32   0.84
dm-0              0.01     4.33   10.89   15.51   927.62   613.78    58.39     0.01    0.38   0.34   0.89
dm-3              0.00     0.00    0.11    0.00     2.57     0.00    22.60     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.56   19.84   923.27   613.78    50.56     0.02    0.65   0.29   0.87
dm-5              0.00     0.00    0.47    0.11     3.74     0.89     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.83    23.98     8.26     0.01    3.04   0.23   0.07
dm-9              0.00     0.00   10.46   16.84   921.68   589.79    55.35     0.01    0.39   0.30   0.81
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 05:45:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.21   15.47   927.79   611.88    57.69     0.01    0.35   0.32   0.84
dm-0              0.01     4.33   10.85   15.47   924.85   611.88    58.37     0.01    0.38   0.34   0.88
dm-3              0.00     0.00    0.11    0.00     2.56     0.00    22.56     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.53   19.80   920.51   611.88    50.53     0.02    0.65   0.29   0.87
dm-5              0.00     0.00    0.47    0.11     3.73     0.89     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.83    23.99     8.26     0.01    3.04   0.23   0.07
dm-9              0.00     0.00   10.43   16.80   918.92   587.89    55.33     0.01    0.39   0.30   0.80
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 05:50:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.18   15.44   924.88   610.00    57.67     0.01    0.35   0.32   0.84
dm-0              0.01     4.33   10.82   15.44   921.95   610.00    58.35     0.01    0.38   0.34   0.88
dm-3              0.00     0.00    0.11    0.00     2.55     0.00    22.51     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.49   19.76   917.61   610.00    50.49     0.02    0.65   0.29   0.87
dm-5              0.00     0.00    0.46    0.11     3.72     0.88     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.83    23.99     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.39   16.76   916.03   586.01    55.31     0.01    0.39   0.30   0.80
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 05:55:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.14   15.40   921.95   608.14    57.65     0.01    0.35   0.32   0.84
dm-0              0.01     4.32   10.78   15.40   919.02   608.14    58.33     0.01    0.38   0.34   0.88
dm-3              0.00     0.00    0.11    0.00     2.54     0.00    22.47     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.45   19.72   914.69   608.14    50.46     0.02    0.65   0.29   0.86
dm-5              0.00     0.00    0.46    0.11     3.70     0.88     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.83    24.00     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.36   16.72   913.11   584.14    55.29     0.01    0.39   0.30   0.80
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:00:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.10   15.37   919.01   606.28    57.62     0.01    0.35   0.32   0.84
dm-0              0.01     4.32   10.74   15.37   916.08   606.28    58.31     0.01    0.38   0.34   0.88
dm-3              0.00     0.00    0.11    0.00     2.53     0.00    22.43     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.42   19.69   911.76   606.28    50.43     0.02    0.66   0.29   0.86
dm-5              0.00     0.00    0.46    0.11     3.69     0.88     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.82    24.01     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.32   16.68   910.19   582.27    55.27     0.01    0.39   0.30   0.80
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:05:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.07   15.33   916.12   604.41    57.60     0.01    0.35   0.32   0.83
dm-0              0.01     4.32   10.71   15.33   913.19   604.41    58.29     0.01    0.38   0.34   0.88
dm-3              0.00     0.00    0.11    0.00     2.53     0.00    22.39     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.38   19.65   908.88   604.41    50.40     0.02    0.66   0.29   0.86
dm-5              0.00     0.00    0.46    0.11     3.68     0.88     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.82    24.01     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.28   16.64   907.31   580.40    55.25     0.01    0.40   0.30   0.80
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:10:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.03   15.29   913.25   602.60    57.58     0.01    0.36   0.32   0.83
dm-0              0.01     4.31   10.67   15.29   910.32   602.60    58.26     0.01    0.38   0.34   0.87
dm-3              0.00     0.00    0.11    0.00     2.52     0.00    22.34     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.35   19.61   906.02   602.60    50.36     0.02    0.66   0.29   0.86
dm-5              0.00     0.00    0.46    0.11     3.66     0.88     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.82    24.02     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.25   16.60   904.45   578.58    55.23     0.01    0.40   0.30   0.79
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.00   15.26   910.38   600.80    57.55     0.01    0.36   0.32   0.83
dm-0              0.01     4.31   10.64   15.26   907.45   600.80    58.24     0.01    0.38   0.34   0.87
dm-3              0.00     0.00    0.11    0.00     2.51     0.00    22.30     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.31   19.57   903.16   600.80    50.33     0.02    0.66   0.29   0.86
dm-5              0.00     0.00    0.46    0.11     3.65     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.81    24.03     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.21   16.57   901.59   576.77    55.20     0.01    0.40   0.30   0.79
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:20:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.96   15.23   907.55   599.01    57.53     0.01    0.36   0.32   0.83
dm-0              0.01     4.31   10.60   15.23   904.62   599.01    58.22     0.01    0.38   0.34   0.87
dm-3              0.00     0.00    0.11    0.00     2.50     0.00    22.26     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.28   19.53   900.34   599.01    50.30     0.02    0.66   0.29   0.85
dm-5              0.00     0.00    0.45    0.11     3.64     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.81    24.03     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.18   16.53   898.77   574.98    55.18     0.01    0.40   0.30   0.79
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:25:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.93   15.19   904.74   597.22    57.51     0.01    0.36   0.32   0.83
dm-0              0.01     4.31   10.57   15.19   901.81   597.22    58.19     0.01    0.38   0.34   0.87
dm-3              0.00     0.00    0.11    0.00     2.49     0.00    22.22     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.24   19.50   897.54   597.22    50.26     0.02    0.66   0.29   0.85
dm-5              0.00     0.00    0.45    0.11     3.62     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.00     0.81    24.04     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.14   16.49   895.98   573.18    55.16     0.01    0.40   0.30   0.79
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:30:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.89   15.16   901.93   595.47    57.48     0.01    0.36   0.32   0.82
dm-0              0.01     4.30   10.53   15.16   899.00   595.47    58.17     0.01    0.38   0.34   0.87
dm-3              0.00     0.00    0.11    0.00     2.48     0.00    22.18     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.21   19.46   894.74   595.47    50.23     0.02    0.66   0.29   0.85
dm-5              0.00     0.00    0.45    0.11     3.61     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.80    24.06     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.11   16.45   893.18   571.41    55.13     0.01    0.40   0.30   0.79
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:35:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.86   15.12   899.15   593.68    57.46     0.01    0.36   0.32   0.82
dm-0              0.01     4.30   10.50   15.12   896.22   593.68    58.15     0.01    0.38   0.34   0.87
dm-3              0.00     0.00    0.11    0.00     2.48     0.00    22.14     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.17   19.42   891.97   593.68    50.20     0.02    0.66   0.29   0.85
dm-5              0.00     0.00    0.45    0.11     3.60     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.80    24.07     8.25     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.08   16.41   890.42   569.61    55.11     0.01    0.40   0.30   0.79
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:40:03 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.82   15.09   896.41   591.93    57.44     0.01    0.36   0.32   0.82
dm-0              0.01     4.30   10.46   15.09   893.48   591.93    58.13     0.01    0.38   0.34   0.86
dm-3              0.00     0.00    0.11    0.00     2.47     0.00    22.09     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.14   19.39   889.23   591.93    50.16     0.02    0.66   0.29   0.85
dm-5              0.00     0.00    0.45    0.11     3.59     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.80    24.07     8.24     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.04   16.38   887.68   567.85    55.09     0.01    0.40   0.30   0.78
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:45:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.79   15.06   893.66   590.21    57.41     0.01    0.36   0.32   0.82
dm-0              0.01     4.30   10.43   15.06   890.74   590.21    58.11     0.01    0.38   0.34   0.86
dm-3              0.00     0.00    0.11    0.00     2.46     0.00    22.05     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.11   19.35   886.50   590.21    50.13     0.02    0.66   0.29   0.85
dm-5              0.00     0.00    0.45    0.11     3.57     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.80    24.08     8.24     0.01    3.03   0.23   0.07
dm-9              0.00     0.00   10.01   16.34   884.95   566.13    55.07     0.01    0.40   0.30   0.78
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:50:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.76   15.02   890.95   588.50    57.39     0.01    0.36   0.32   0.82
dm-0              0.01     4.29   10.40   15.02   888.02   588.50    58.08     0.01    0.38   0.34   0.86
dm-3              0.00     0.00    0.11    0.00     2.45     0.00    22.01     0.00    0.17   0.14   0.00
dm-4              0.00     0.00   10.07   19.32   883.79   588.50    50.10     0.02    0.66   0.29   0.84
dm-5              0.00     0.00    0.45    0.11     3.56     0.86     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.79    24.09     8.24     0.01    3.03   0.23   0.07
dm-9              0.00     0.00    9.98   16.31   882.25   564.41    55.05     0.01    0.40   0.30   0.78
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 06:55:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.72   14.99   888.23   586.79    57.36     0.01    0.36   0.32   0.82
dm-0              0.01     4.29   10.36   14.99   885.30   586.79    58.06     0.01    0.38   0.34   0.86
dm-3              0.00     0.00    0.11    0.00     2.44     0.00    21.97     0.00    0.16   0.14   0.00
dm-4              0.00     0.00   10.04   19.28   881.08   586.79    50.06     0.02    0.67   0.29   0.84
dm-5              0.00     0.00    0.44    0.11     3.55     0.86     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.79    24.10     8.24     0.01    3.03   0.23   0.07
dm-9              0.00     0.00    9.94   16.27   879.54   562.69    55.02     0.01    0.40   0.30   0.78
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 07:00:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.69   14.96   885.56   585.08    57.34     0.01    0.36   0.32   0.81
dm-0              0.01     4.29   10.33   14.96   882.63   585.08    58.04     0.01    0.38   0.34   0.86
dm-3              0.00     0.00    0.11    0.00     2.44     0.00    21.93     0.00    0.16   0.14   0.00
dm-4              0.00     0.00   10.01   19.25   878.42   585.08    50.03     0.02    0.67   0.29   0.84
dm-5              0.00     0.00    0.44    0.11     3.54     0.86     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.01     0.79    24.11     8.24     0.01    3.03   0.23   0.07
dm-9              0.00     0.00    9.91   16.23   876.88   560.97    55.00     0.01    0.40   0.30   0.78
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 07:05:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.66   14.93   882.90   583.39    57.32     0.01    0.36   0.32   0.81
dm-0              0.01     4.29   10.30   14.93   879.97   583.39    58.02     0.01    0.38   0.34   0.86
dm-3              0.00     0.00    0.11    0.00     2.43     0.00    21.89     0.00    0.16   0.14   0.00
dm-4              0.00     0.00    9.97   19.21   875.77   583.39    50.00     0.02    0.67   0.29   0.84
dm-5              0.00     0.00    0.44    0.11     3.53     0.86     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.02     0.79    24.13     8.24     0.01    3.02   0.23   0.07
dm-9              0.00     0.00    9.88   16.19   874.23   559.26    54.98     0.01    0.40   0.30   0.78
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 07:10:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.62   14.89   880.24   581.73    57.29     0.01    0.36   0.32   0.81
dm-0              0.01     4.28   10.26   14.89   877.32   581.73    57.99     0.01    0.38   0.34   0.85
dm-3              0.00     0.00    0.11    0.00     2.42     0.00    21.85     0.00    0.16   0.14   0.00
dm-4              0.00     0.00    9.94   19.18   873.12   581.73    49.96     0.02    0.67   0.29   0.84
dm-5              0.00     0.00    0.44    0.11     3.51     0.86     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.02     0.78    24.14     8.24     0.01    3.02   0.23   0.07
dm-9              0.00     0.00    9.84   16.16   871.59   557.59    54.96     0.01    0.40   0.30   0.77
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 07:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.59   14.86   877.67   580.05    57.27     0.01    0.36   0.32   0.81
dm-0              0.01     4.28   10.23   14.86   874.75   580.05    57.97     0.01    0.38   0.34   0.85
dm-3              0.00     0.00    0.11    0.00     2.41     0.00    21.81     0.00    0.16   0.14   0.00
dm-4              0.00     0.00    9.91   19.14   870.56   580.05    49.93     0.02    0.67   0.29   0.84
dm-5              0.00     0.00    0.44    0.11     3.50     0.86     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.02     0.78    24.15     8.24     0.01    3.02   0.23   0.07
dm-9              0.00     0.00    9.81   16.12   869.03   555.90    54.94     0.01    0.40   0.30   0.77
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 07:20:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.56   14.83   875.16   578.41    57.25     0.01    0.36   0.32   0.81
dm-0              0.01     4.28   10.20   14.83   872.24   578.41    57.95     0.01    0.39   0.34   0.85
dm-3              0.00     0.00    0.11    0.00     2.41     0.00    21.77     0.00    0.16   0.14   0.00
dm-4              0.00     0.00    9.88   19.11   868.06   578.41    49.90     0.02    0.67   0.29   0.83
dm-5              0.00     0.00    0.44    0.11     3.49     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.02     0.78    24.16     8.24     0.01    3.02   0.23   0.07
dm-9              0.00     0.00    9.78   16.09   866.53   554.25    54.92     0.01    0.40   0.30   0.77
dm-1              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.54     0.00     8.00     0.00    0.11   0.11   0.00

05/17/13 07:25:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   10.53   14.80   872.59   576.74    57.22     0.01    0.36   0.32   0.81
dm-0              0.01     4.28   10.17   14.80   869.67   576.74    57.93     0.01    0.39   0.34   0.85
dm-3              0.00     0.00    0.11    0.00     2.40     0.00    21.73     0.00    0.16   0.14   0.00
dm-4              0.00     0.00    9.85   19.07   865.49   576.74    49.87     0.02    0.67   0.29   0.83
dm-5              0.00     0.00    0.43    0.11     3.48     0.87     8.00     0.00    0.60   0.05   0.00
dm-6              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.00    0.00     0.01     0.00     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.01    3.02     0.77    24.16     8.24     0.01    3.02   0.23   0.07
