05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
05/16/13 09:55:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    3.06    0.76   201.57    13.88    56.37     0.00    0.41   0.27   0.10
dm-0              0.06     0.57    2.57    0.76   197.56    13.88    63.51     0.00    0.52   0.35   0.12
dm-3              0.00     0.00    0.39    0.00    15.60     0.00    40.19     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    1.86    1.33   178.88    13.88    60.44     0.00    0.90   0.33   0.11
dm-5              0.00     0.00    2.38    0.06    19.02     0.49     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.23     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.09     0.02     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.94     3.05     7.52    10.74     0.00    1.89   0.50   0.05
dm-9              0.00     0.00    1.66    0.38   174.63     6.35    88.60     0.00    0.48   0.27   0.06
dm-1              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.62     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:00:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    3.74    1.35   240.53    39.59    54.99     0.00    0.38   0.28   0.14
dm-0              0.06     0.68    3.25    1.35   236.55    39.59    59.97     0.00    0.46   0.34   0.16
dm-3              0.00     0.00    0.38    0.00    15.20     0.00    40.02     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    2.55    2.03   218.31    39.59    56.21     0.00    0.73   0.32   0.15
dm-5              0.00     0.00    2.32    0.06    18.52     0.48     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.23     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.03    0.01     0.09     0.02     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.98     2.97     7.81    10.58     0.00    1.85   0.49   0.05
dm-9              0.00     0.00    2.36    1.05   214.16    31.76    72.17     0.00    0.41   0.28   0.09
dm-1              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:05:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    3.73    1.49   239.62    42.16    54.05     0.00    0.39   0.28   0.15
dm-0              0.06     0.70    3.24    1.49   235.68    42.16    58.77     0.00    0.46   0.34   0.16
dm-3              0.00     0.00    0.37    0.00    14.81     0.00    39.85     0.00    0.20   0.14   0.01
